name,access,value,type,error
[Consumer]trigger_software,Unsupported,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Exception getting EasyParam value: MVTec EasyParam trigger_software not implemented.
(GetInternalBaseParam:23793)"
[Device]DeviceAccessStatus,Read Only,OpenReadWrite,string,
[Device]DeviceEndianessMechanism,Read / Write,Standard,string,
[Device]DeviceID,Read Only,3408e1db21f2_FlukeProcessInstruments_TV46L1260100029Hz,string,
[Device]DeviceLinkHeartbeatMode,Unsupported,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter DeviceLinkHeartbeatMode is not (currently) readable.
(GetValueFromNode:23453)"
[Device]DeviceLinkHeartbeatTimeout,Read / Write,3000000.0,double,
[Device]DeviceManufacturerInfo,Read Only,,string,
[Device]DeviceMessageChannelKeepAliveTimeout,Unsupported,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter DeviceMessageChannelKeepAliveTimeout is not (currently) readable.
(GetValueFromNode:23453)"
[Device]DeviceModelName,Read Only,TV46L-1-26010002@9Hz,string,
[Device]DeviceSerialNumber,Read Only,HB25100004,string,
[Device]DeviceType,Read Only,GigEVision,string,
[Device]DeviceUserID,Read Only,,string,
[Device]DeviceVendorName,Read Only,Fluke Process Instruments,string,
[Device]DeviceVersion,Read Only,1.0.8,string,
[Device]EventDeviceLost,Unsupported,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter EventDeviceLost is not (currently) readable.
(GetValueFromNode:23453)"
[Device]EventNotification,Read / Write,Off,string,
[Device]EventSelector,Read / Write,DeviceLost,string,
[Device]ForceSocketDriver,Read / Write,0,int,
[Device]GevDeviceGateway,Read Only,0,int,
[Device]GevDeviceIPAddress,Read Only,2852001861,int,
[Device]GevDeviceMACAddress,Read Only,57212753617394,int,
[Device]GevDeviceSubnetMask,Read Only,4294901760,int,
[Device]LinkCommandRetryCount,Read Only,3,int,
[Device]LinkCommandTimeout,Read / Write,2000000.0,double,
[Device]StreamID,Read Only,Esen_DS0_3408e1db21f2,string,
[Device]StreamSelector,Read / Write,0,int,
[Interface]ActionCommand,Unsupported,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter ActionCommand is not (currently) readable.
(GetValueFromNode:23453)"
[Interface]ActionDeviceKey,Read / Write,0,int,
[Interface]ActionGroupKey,Read / Write,0,int,
[Interface]ActionGroupMask,Read / Write,0,int,
[Interface]ActionScheduledTime,Unsupported,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter ActionScheduledTime is not (currently) readable.
(GetValueFromNode:23453)"
[Interface]ActionScheduledTimeEnable,Read / Write,0,int,
[Interface]DeviceAccessStatus,Read Only,OpenReadWrite,string,
[Interface]DeviceID,Read Only,3408e1db21f2_FlukeProcessInstruments_TV46L1260100029Hz,string,
[Interface]DeviceModelName,Read Only,TV46L-1-26010002@9Hz,string,
[Interface]DeviceSelector,Read / Write,0,int,
[Interface]DeviceSerialNumber,Read Only,HB25100004,string,
[Interface]DeviceTLVersionMajor,Read Only,2,int,
[Interface]DeviceTLVersionMinor,Read Only,0,int,
[Interface]DeviceUpdateList,Write Only,1,command,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter DeviceUpdateList is not (currently) readable.
(GetValueFromNode:23453)"
[Interface]DeviceUpdateTimeout,Read / Write,0,int,
[Interface]DeviceUserID,Read Only,,string,
[Interface]DeviceVendorName,Read Only,Fluke Process Instruments,string,
[Interface]GevActionDestinationIPAddress,Read Only,0,int,
[Interface]GevDeviceForceGateway,Read Only,0,int,
[Interface]GevDeviceForceIP,Read / Write,1,int,
[Interface]GevDeviceForceIPAddress,Read Only,0,int,
[Interface]GevDeviceForceIPTimeout,Read Only,7000000,int,
[Interface]GevDeviceForceSubnetMask,Read Only,0,int,
[Interface]GevDeviceGateway,Read Only,0,int,
[Interface]GevDeviceIPAddress,Read Only,2852001861,int,
[Interface]GevDeviceLastForceIPSuccess,Read Only,1,int,
[Interface]GevDeviceMACAddress,Read Only,57212753617394,int,
[Interface]GevDeviceProposeIP,Read / Write,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter GevDeviceProposeIP is not (currently) readable.
(GetValueFromNode:23453)"
[Interface]GevDeviceSubnetMask,Read Only,4294901760,int,
[Interface]GevInterfaceGateway,Read Only,0,int,
[Interface]GevInterfaceGatewaySelector,Read Only,0,int,
[Interface]GevInterfaceMACAddress,Read Only,215938449915984,int,
[Interface]GevInterfaceMTU,Read Only,9000,int,
[Interface]GevInterfaceSubnetIPAddress,Read Only,2852044881,int,
[Interface]GevInterfaceSubnetMask,Read Only,4294901760,int,
[Interface]GevInterfaceSubnetSelector,Read Only,0,int,
[Interface]InterfaceID,Read Only,Esen_ITF_c4651699c050a9fec051ffff0000,string,
[Interface]InterfaceTLVersionMajor,Read Only,2,int,
[Interface]InterfaceTLVersionMinor,Read Only,1,int,
[Interface]InterfaceType,Read Only,GigEVision,string,
[Stream]DeviceStreamChannelKeepAliveTimeout,Read / Write,30000.0,double,
[Stream]DeviceStreamChannelNegotiatePacketSize,Write Only,1,command,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter DeviceStreamChannelNegotiatePacketSize is not (currently) readable.
(GetValueFromNode:23453)"
[Stream]DeviceStreamChannelPacketSize,Read Only,1500,int,
[Stream]DeviceStreamChannelPacketSizeInc,Read Only,4,int,
[Stream]DeviceStreamChannelPacketSizeMax,Read Only,9000,int,
[Stream]DeviceStreamChannelPacketSizeMin,Read Only,576,int,
[Stream]EventNotification,Read / Write,Off,string,
[Stream]EventSelector,Read / Write,TransferEnd,string,
[Stream]EventTransferEnd,Unsupported,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter EventTransferEnd is not (currently) readable.
(GetValueFromNode:23453)"
[Stream]EventTransferEndBufferUndeliverable,Unsupported,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter EventTransferEndBufferUndeliverable is not (currently) readable.
(GetValueFromNode:23453)"
[Stream]EventTransferEndFrameID,Unsupported,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter EventTransferEndFrameID is not (currently) readable.
(GetValueFromNode:23453)"
[Stream]EventTransferEndUndeliverabilityReason,Unsupported,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter EventTransferEndUndeliverabilityReason is not (currently) readable.
(GetValueFromNode:23453)"
[Stream]GevStreamAbortCheckPeriod,Read / Write,300000.0,double,
[Stream]GevStreamActiveEngine,Read Only,FilterDriver,string,
[Stream]GevStreamDeliverIncompleteBlocks,Read / Write,1,int,
[Stream]GevStreamDeliveredPacketCount,Read Only,0,int,
[Stream]GevStreamDiscardedBlockCount,Read Only,0,int,
[Stream]GevStreamDuplicatePacketCount,Read Only,0,int,
[Stream]GevStreamEngineUnderrunCount,Read Only,0,int,
[Stream]GevStreamFullBlockTerminatesPrev,Read / Write,0,int,
[Stream]GevStreamIncompleteBlockCount,Read Only,0,int,
[Stream]GevStreamLostPacketCount,Read Only,0,int,
[Stream]GevStreamMaxBlockDuration,Read / Write,0.0,double,
[Stream]GevStreamMaxPacketGaps,Read / Write,30,int,
[Stream]GevStreamOversizedBlockCount,Read Only,0,int,
[Stream]GevStreamPacketOrderDelay,Read / Write,10.0,double,
[Stream]GevStreamReceiveSocketSize,Read Only,131072,int,
[Stream]GevStreamResendCommandCount,Read Only,0,int,
[Stream]GevStreamResendPacketCount,Read Only,0,int,
[Stream]GevStreamRingBufferSize,Read Only,262144,int,
[Stream]GevStreamSeenPacketCount,Read Only,0,int,
[Stream]GevStreamSkippedBlockCount,Read Only,0,int,
[Stream]GevStreamUnavailablePacketCount,Read Only,0,int,
[Stream]PayloadSize,Unsupported,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter PayloadSize is not (currently) readable.
(GetValueFromNode:23453)"
[Stream]StreamAnnounceBufferMinimum,Read Only,1,int,
[Stream]StreamAnnouncedBufferCount,Read Only,0,int,
[Stream]StreamAuxiliaryBufferCount,Read Only,0,int,
[Stream]StreamBufferHandlingMode,Read / Write,OldestFirst,string,
[Stream]StreamID,Read Only,Esen_DS0_3408e1db21f2,string,
[Stream]StreamThreadApplyPriority,Write Only,1,command,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter StreamThreadApplyPriority is not (currently) readable.
(GetValueFromNode:23453)"
[Stream]StreamThreadPriority,Read / Write,2,int,
[Stream]StreamType,Read Only,GigEVision,string,
[System]GenTLSFNCVersionMajor,Read Only,1,int,
[System]GenTLSFNCVersionMinor,Read Only,1,int,
[System]GenTLVersionMajor,Read Only,1,int,
[System]GenTLVersionMinor,Read Only,6,int,
[System]GevInterfaceDefaultIPAddress,Read Only,2852044881,int,
[System]GevInterfaceDefaultSubnetMask,Read Only,4294901760,int,
[System]GevInterfaceMACAddress,Read Only,215938449915984,int,
[System]GevTLSubsystemInfo,Read Only,filter driver: 2020804/2020804,string,
[System]InterfaceID,Read Only,Esen_ITF_c4651699c050a9fec051ffff0000,string,
[System]InterfaceSelector,Read / Write,0,int,
[System]InterfaceUpdateList,Write Only,1,command,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter InterfaceUpdateList is not (currently) readable.
(GetValueFromNode:23453)"
[System]InterfaceUpdateTimeout,Read / Write,0,int,
[System]TLFileName,Read Only,hAcqGigEVision2.dll,string,
[System]TLID,Read Only,C:\Program Files\MVTec\HALCON-24.11-Progress-Steady\bin\x64-win64\hAcqGigEVision2.dll,string,
[System]TLModelName,Read Only,GigEVision,string,
[System]TLPath,Read Only,C:\Program Files\MVTec\HALCON-24.11-Progress-Steady\bin\x64-win64\hAcqGigEVision2.dll,string,
[System]TLType,Read Only,GigEVision,string,
[System]TLVendorName,Read Only,MVTec Software GmbH,string,
[System]TLVersion,Read Only,1.0.0,string,
add_objectmodel3d_overlay_attrib,Read Only,disable,string,
available_callback_types,Read Only,"['DeviceVendorName', 'DeviceModelName', 'DeviceManufacturerInfo', 'FLK_TI_Info_PlatformId', 'FLK_TI_Info_VLDataProviderAvailable', 'FLK_TI_Info_VLDataSize', 'FLK_TI_Info_REDataProviderAvailable', 'FLK_TI_Info_REDataSize', 'FLK_TI_Info_REDataRate', 'FLK_TI_Info_RE_TPM_Validity_Code', 'FLK_TI_Info_RE_Platform_Id', 'FLK_TI_Info_RE_Capabilities0', 'FLK_TI_Info_CurrentDeviceTemperatureC', 'FLK_TI_Info_CriticalDeviceTemperatureC', 'FLK_TI_Info_SecuredDataStreamingOnly', 'FLK_TI_InfoSelector', 'FLK_TI_InfoString', 'FLK_TI_Info_CalibrationRangeInfoQuery', 'FLK_TI_Info_CalibrationRangeInfo_RangeSpan_LowerBoundary', 'FLK_TI_Info_CalibrationRangeInfo_RangeSpan_UpperBoundary', 'FLK_TI_CalibrationInfo', 'FLK_TI_ControlFeature_SetFocusDistanceMm', 'FLK_TI_ControlFeature_CurrentFocusDistanceMm', 'FLK_TI_ControlFeature_FocusDistanceMm_Min', 'FLK_TI_ControlFeature_FocusDistanceMm_Max', 'FLK_TI_ControlFeature_REControlCmd', 'FLK_TI_ControlFeature_SetFrameRate', 'DeviceSFNCVersionMajor', 'DeviceSFNCVersionMinor', 'DeviceSFNCVersionSubMinor', 'DeviceType', 'DeviceStreamChannelCount', 'FLK_TI_StreamDataSourceSelector', 'TransmitAs', 'ImageCompressionMode', 'SensorWidth', 'SensorHeight', 'WidthMin', 'WidthMax', 'Width', 'HeightMin', 'HeightMax', 'Height', 'PixelFormat', 'AcquisitionMode', 'PayloadSize', 'GevCurrentPhysicalLinkConfiguration', 'GevPrimaryApplicationIPAddress', 'GevPrimaryApplicationSocket', 'GevSupportedOptionSelector', 'GevSupportedOption', '[System]TLID', '[System]TLVendorName', '[System]TLModelName', '[System]TLVersion', '[System]TLFileName', '[System]TLPath', '[System]TLType', '[System]GenTLVersionMajor', '[System]GenTLVersionMinor', '[System]GenTLSFNCVersionMajor', '[System]GenTLSFNCVersionMinor', '[System]GevTLSubsystemInfo', '[System]InterfaceUpdateList', '[System]InterfaceUpdateTimeout', '[System]InterfaceSelector', '[System]InterfaceID', '[System]GevInterfaceMACAddress', '[System]GevInterfaceDefaultIPAddress', '[System]GevInterfaceDefaultSubnetMask', '[Interface]InterfaceID', '[Interface]InterfaceType', '[Interface]InterfaceTLVersionMajor', '[Interface]InterfaceTLVersionMinor', '[Interface]GevInterfaceMACAddress', '[Interface]GevInterfaceSubnetSelector', '[Interface]GevInterfaceSubnetIPAddress', '[Interface]GevInterfaceSubnetMask', '[Interface]GevInterfaceMTU', '[Interface]GevInterfaceGatewaySelector', '[Interface]GevInterfaceGateway', '[Interface]DeviceUpdateList', '[Interface]DeviceUpdateTimeout', '[Interface]DeviceSelector', '[Interface]DeviceID', '[Interface]DeviceVendorName', '[Interface]DeviceModelName', '[Interface]DeviceAccessStatus', '[Interface]DeviceSerialNumber', '[Interface]DeviceUserID', '[Interface]DeviceTLVersionMajor', '[Interface]DeviceTLVersionMinor', '[Interface]GevDeviceIPAddress', '[Interface]GevDeviceSubnetMask', '[Interface]GevDeviceGateway', '[Interface]GevDeviceMACAddress', '[Interface]GevDeviceForceIPAddress', '[Interface]GevDeviceForceSubnetMask', '[Interface]GevDeviceForceGateway', '[Interface]GevDeviceForceIPTimeout', '[Interface]GevDeviceProposeIP', '[Interface]GevDeviceForceIP', '[Interface]GevDeviceLastForceIPSuccess', '[Interface]ActionCommand', '[Interface]ActionDeviceKey', '[Interface]ActionGroupKey', '[Interface]ActionGroupMask', '[Interface]ActionScheduledTimeEnable', '[Interface]ActionScheduledTime', '[Interface]GevActionDestinationIPAddress', '[Device]DeviceID', '[Device]DeviceSerialNumber', '[Device]DeviceUserID', '[Device]DeviceVendorName', '[Device]DeviceModelName', '[Device]DeviceVersion', '[Device]DeviceManufacturerInfo', '[Device]DeviceType', '[Device]DeviceAccessStatus', '[Device]GevDeviceIPAddress', '[Device]GevDeviceSubnetMask', '[Device]GevDeviceMACAddress', '[Device]GevDeviceGateway', '[Device]StreamSelector', '[Device]StreamID', '[Device]DeviceEndianessMechanism', '[Device]LinkCommandTimeout', '[Device]LinkCommandRetryCount', '[Device]DeviceLinkHeartbeatMode', '[Device]DeviceLinkHeartbeatTimeout', '[Device]ForceSocketDriver', '[Device]EventSelector', '[Device]EventNotification', '[Device]EventDeviceLost', '[Device]DeviceMessageChannelKeepAliveTimeout', '[Stream]StreamID', '[Stream]StreamType', '[Stream]StreamAnnouncedBufferCount', '[Stream]StreamBufferHandlingMode', '[Stream]StreamAnnounceBufferMinimum', '[Stream]PayloadSize', '[Stream]StreamThreadPriority', '[Stream]StreamThreadApplyPriority', '[Stream]StreamAuxiliaryBufferCount', '[Stream]GevStreamMaxPacketGaps', '[Stream]GevStreamMaxBlockDuration', '[Stream]GevStreamDeliverIncompleteBlocks', '[Stream]GevStreamFullBlockTerminatesPrev', '[Stream]GevStreamPacketOrderDelay', '[Stream]GevStreamAbortCheckPeriod', '[Stream]GevStreamActiveEngine', '[Stream]GevStreamRingBufferSize', '[Stream]GevStreamReceiveSocketSize', '[Stream]DeviceStreamChannelPacketSize', '[Stream]DeviceStreamChannelPacketSizeMin', '[Stream]DeviceStreamChannelPacketSizeMax', '[Stream]DeviceStreamChannelPacketSizeInc', '[Stream]DeviceStreamChannelNegotiatePacketSize', '[Stream]DeviceStreamChannelKeepAliveTimeout', '[Stream]GevStreamSeenPacketCount', '[Stream]GevStreamLostPacketCount', '[Stream]GevStreamDeliveredPacketCount', '[Stream]GevStreamUnavailablePacketCount', '[Stream]GevStreamDuplicatePacketCount', '[Stream]GevStreamResendCommandCount', '[Stream]GevStreamResendPacketCount', '[Stream]GevStreamSkippedBlockCount', '[Stream]GevStreamEngineUnderrunCount', '[Stream]GevStreamDiscardedBlockCount', '[Stream]GevStreamIncompleteBlockCount', '[Stream]GevStreamOversizedBlockCount', '[Stream]EventSelector', '[Stream]EventNotification', '[Stream]EventTransferEnd', '[Stream]EventTransferEndFrameID', '[Stream]EventTransferEndBufferUndeliverable', '[Stream]EventTransferEndUndeliverabilityReason', 'available_callback_types', 'available_event_names', 'available_param_names', 'do_abort_grab', 'do_write_configuration', 'grab_timeout', 'image_available', 'revision', 'start_async_after_grab_async', 'volatile', 'image_width', 'image_height', 'bits_per_channel', 'color_space', 'num_buffers', 'tl_id', 'tl_model', 'tl_filename', 'tl_pathname', 'tl_displayname', 'delay_after_stop', 'buffer_timestamp', 'buffer_timestamp_ns', 'device_timestamp_frequency', 'buffer_is_incomplete', 'num_buffers_underrun', 'num_buffers_await_delivery', 'clear_buffer', 'split_param_values_into_dwords', 'direct_connection', 'streaming_mode', 'device_event_handling', 'device_access', 'workarounds', 'force_ip', 'force_sockdrv', 'buffer_reallocation_mode', 'settings_selector', 'do_write_settings', 'do_load_settings', 'image_contents', 'image_source_id', 'image_region_id', 'image_purpose_id', 'image_raw_buffer_type', 'image_raw_buffer_padding_bytes', 'data_contents', 'data_source_id', 'data_region_id', 'data_purpose_id', 'create_objectmodel3d', 'coordinate_transform_mode', 'confidence_mode', 'confidence_threshold', 'add_objectmodel3d_overlay_attrib', 'buffer_frameid', 'image_pixel_format', 'event_notification_helper', 'fileaccess_remote_name', 'fileaccess_file_path', 'do_fileaccess_download', 'do_fileaccess_upload', 'do_fileaccess_delete', 'event_data', 'event_message_queue', 'event_selector', 'available_easyparam_names', 'event_new_buffer']",list[str],
available_easyparam_names,Read Only,"['[Consumer]exposure_auto', '[Consumer]exposure', '[Consumer]gain_auto', '[Consumer]gain', '[Consumer]info_general', '[Consumer]trigger', '[Consumer]trigger_activation', '[Consumer]trigger_delay', '[Consumer]trigger_software']",list[str],
